input,output
Homme,Male
Femme,Female
Oui,Yes
Non,No
Genre,Gender
Statut au Canada,Status in Canada
Unnamed: 0.1,Unnamed: 0.1
Unnamed: 0,Unnamed: 0
Username,Username
FirstName,FirstName
LastName,LastName
EmailAddress,EmailAddress
Phone,Phone
City,City
Province,Province
Country,Country
Gender,Gender
Age,Age
Status in Canada,Status in Canada
Marital Status,Marital Status
Country of birth,Country of birth
Country you have_will immigrate from,Country you have_will immigrate from
Year landed in Canada enter 0 if not yet landed,Year landed in Canada enter 0 if not yet landed
Highest level of education,Highest level of education
Cohort Name,Cohort Name
Program Version,Program Version
What is your current employment status,What is your current employment status
What industry or sector are you working in,What industry or sector are you working in
Is this your preferred industry or sector,Is this your preferred industry or sector
What is your current annual employment salary,What is your current annual employment salary
Âge,Age
Situation maritale,Marital situation
Pays de naissance,Native country
Pays doù vous avez immigré immigrerez,Country from where you immigrated to immigrate
Année darrivée au Canada saisir 0 si non applicable,Darrive year in Canada Enter 0 if not applicable
Principale langue parlée à la maison,Main language spoken at home
Plus haut niveau de formation,Higher level of training
Quelle est votre situation professionnelle actuelle,What is your current professional situation
Dans quelle industrie ou secteur travaillez vous,In which industry or sector do you work
Est ce votre industrie ou secteur de prédilection,Is this your favorite industry or sector
Quel est votre salaire annuel actuel,What is your current annual salary
Organization,Organization
DateAdded,DateAdded
Female,Female
Permanent Resident (In Canada),Permanent Resident (In Canada)
Separated/divorced,Separated/divorced
Korea,Korea
2021.0,2021.0
Degree,Degree
5) Unemployed,5) Unemployed
01) I am not currently employed,01) I am not currently employed
2) No,2) No
1) I am not currently employed,1) I am not currently employed
Male,Male
Convention Refugee,Convention Refugee
Single,Single
Sudan,Sudan
2022.0,2022.0
Graduate degree,Graduate degree
"03) Mining, quarrying, and oil and gas extraction","03) Mining, quarrying, and oil and gas extraction"
1) Yes,1) Yes
Married/live with partner,Married/live with partner
Sri Lanka,Sri Lanka
Diploma,Diploma
1) Employed,1) Employed
17) Health care and social assistance,17) Health care and social assistance
"3) $25,000 – $50,000","3) $25,000 – $50,000"
Temporary Foreign Worker (IRPR s.112 work permit),Temporary Foreign Worker (IRPR s.112 work permit)
Ukraine,Ukraine
Nigeria,Nigeria
0.0,0.0
2) In school or training,2) In school or training
NIGERIA,NIGERIA
2023.0,2023.0
21) Other services,21) Other services
India,India
2017.0,2017.0
High school diploma or equivalent,High school diploma or equivalent
Prefer not to disclose,Prefer not to disclose
Afghanistan,Afghanistan
Certificate,Certificate
Afghanistan,Afghanistan
Japan,Japan
2020.0,2020.0
6) Other,6) Other
Azerbaijan,Azerbaijan
Ikey,Ikey
PAKISTAN,PAKISTAN
"13) Professional, scientific and technical services","13) Professional, scientific and technical services"
12-Sep,12-Sep
China,China
Iraq,Iraq
Syria,Syria
Egypt,Egypt
Some post-secondary (college or university courses),Some post-secondary (college or university courses)
Résident.e permanent.e (au Canada),Permanent resident (in Canada)
Marié.e / En concubinage,Married / in cohabitation
Algérie,Algeria
2022,2022
Maîtrise,Mastery
Employé.e,Employee
21) Autres services,21) Other services
"Plus de $100,000","More than $ 100,000"
Maroc,Morocco
2023,2023
Baccalauréat,Baccalaureate
"$25,000 – $50,000","$25,000 – $50,000"
"Permanent Resident, Approved in Principle (Not yet in Canada)","Permanent Resident, Approved in Principle (Not yet in Canada)"
Guinea,Guinea
"2) Less than $25,000","2) Less than $25,000"
Russia,Russia
05) Construction,05) Construction
Lebanon,Lebanon
England,England
Brazil,Brazil
2019.0,2019.0
PhD,PhD
"4) $50,000 - $75,000","4) $50,000 - $75,000"
Réfugié.e au sens de la Convention,Refugee within the meaning of the Convention
Célibataire,Bachelor
Republique Democratique du Congo,Democratic Republic of Congo
USA,USA
Formation post-secondaire non-diplômante (école ou université),Non-divipally post-secondary training (school or university)
Sans emploi,Unemployed
Je suis actuellement sans emploi,I'm currently unemployed
Equateur,Ecuador
20) Administration publique,20) Public administration
Student with work visa,Student with work visa
Canada,Canada
2024.0,2024.0
2013.0,2013.0
11) Finance and insurance,11) Finance and insurance
Canadian citizen,Canadian citizen
I am in Canada,I am in Canada
1996.0,1996.0
2015.0,2015.0
Mexico,Mexico
Mexico,Mexico
2018.0,2018.0
Honduras,Honduras
Kenya,Kenya
09) Transportation and warehousing,09) Transportation and warehousing
Afganistan,Afghanistan
UAE,UAE
06) Manufacturing,06) Manufacturing
UEA,UEA
Sudan,Sudan
Ghana,Ghana
Ethiopia,Ethiopia
Rwanda,Rwanda
Ethiopia,Ethiopia
Rwanada,RWANADA
Algérie,Algeria
15 novembre 2022,"November 15, 2022"
01) Je suis actuellement sans emploi,01) I am currently unemployed
United Arab Emirates,United Arab Emirates
Iran,Iran
Belgique,Belgium
1,1
11) Finance et assurances,11) Finance and insurance
10) Information and cultural industries,10) Information and cultural industries
Estonia,Estonia
d’approbation (pas encore au Canada),approval (not yet in Canada)
0,0
"13) Services professionnels, scientifiques et techniques","13) Professional, scientific and technical services"
"$50,000 - $75,000","$50,000 - $75,000"
Estonia,Estonia
Cameroun,Cameroon
19) Services d’hébergement et de restauration,19) Accommodation and catering services
"Moins de $25,000","Less than $ 25,000"
Mexique,Mexico
France,France
2021,2021
Diplôme d’études secondaires ou équivalent,Secondary school diploma or equivalent
"18) Arts, spectacles et loisirs","18) Arts, shows and leisure"
India,India
Ukraine,Ukraine
Hong Kong,Hong Kong
South Africa,South Africa
2001.0,2001.0
08) Retail trade,08) Retail trade
Oman,Oman
Citoyen.ne canadien.nne,Citizen.
2016,2016
Diplôme,Diploma
Autre,Other
"18) Arts, entertainment and recreation","18) Arts, entertainment and recreation"
Uzbekistan,Uzbekistan
Vietnam,Vietnam
19) Accommodation and food services,19) Accommodation and food services
Viet nam,Vietnam
4) Self-employed (Contractor or Consultant),4) Self-employed (Contractor or Consultant)
LIBERIA,LIBERIA
MOROCCO,MOROCCO
Burundi,Burundi
OCT 11 1973,OCT 11 1973
2012.0,2012.0
june-03-1991,june-03-1991
india,india
Doctorat,PHD
République Démocratique du Congo,Democratic Republic of Congo
2019,2019
Travailleur.euse indépendant.e (Contractuel.le ou Consultant.e),Self -employed worker (contractual or consultant)
2009.0,2009.0
South Korea,South Korea
2016.0,2016.0
Philippines,Philippines
Kinshasa,Kinshasa
Canada,Canada
2016-07-06,2016-07-06
Tunisia,Tunisia
2014.0,2014.0
16) Educational services,16) Educational services
07) Wholesale trade,07) Wholesale trade
Cameroun,Cameroon
A l’école ou en formation,At school or in training
14) Gestion de sociétés et d’entreprises,14) Management of companies and companies
iraq,iraq
turky,Turks
Ukrain,Ukrainians
Ivory Coast,Ivory Coast
Morocco,Morocco
"6) More than $100,000","6) More than $100,000"
24/12/1994,24/12/1994
Argentina,Argentina
Colombia,Colombia
Perú,Peru
Pakistani,Pakistani
09) Transport et entreposage,09) Transport and storage
Pakistan,Pakistan
Démocratie République of congo,Democracy Republic of Congo
Uganda,Uganda
somalia,somalia
south africa,south africa
"5) $75,000 - $100,000","5) $75,000 - $100,000"
Uganda,Uganda
"15) Administrative and support, waste management and remediation services","15) Administrative and support, waste management and remediation services"
BURUNDI,BURUNDI
17) Soins de santé et assistance sociale,17) Health care and social assistance
Egypt,Egypt
Séparé.e / Divorcé.e,Separate / divorced
Tunisie,Tunisia
Spouse of Permanent Resident Principal Applicant (In Canada),Spouse of Permanent Resident Principal Applicant (In Canada)
Lagos,Lagos
Macedonia,Macedonia
Nepal,Nepal
Résident.e permanent.e en cours d’approbation (pas encore au Canada),Permanent resident in approval (not yet in Canada)
Cameroon,Cameroon
Myanmar,Myanmar
2024,2024
INDIA,INDIA
2011.0,2011.0
Bangladesh,Bangladesh
Africa,Africa
14) Management of companies and enterprises,14) Management of companies and enterprises
19/06/1972,19/06/1972
"Époux.se de Candidat.e principal.e à la Résidence permanente, en cours",Spouses.
Cameroon,Cameroon
Nigerian,Nigerian
pakistan,pakistan
Turkey,Turkey
Nepal,Nepal
IRAN,IRAN
1/1/1993,1/1/1993
Côte d’Ivoire,Ivory Coast
china,china
France,France
2020,2020
United Arab Emirates,United Arab Emirates
"02) Agriculture, forestry, fishing and hunting","02) Agriculture, forestry, fishing and hunting"
Taiwan,Taiwan
20) Public administration,20) Public administration
2010.0,2010.0
Indonesia,Indonesia
turkiy,Turkish
Course Name,Course Name
Eval Question,Eval Question
Eval Response,Eval Response
Eval Rating,Eval Rating
Eval Response DateAdded,Eval Response DateAdded
CourseName,CourseName
ChapterName,ChapterName
LessonName,LessonName
Question,Question
UserAnswer,UserAnswer
CompletionDate,CompletionDate
DepartmentName,DepartmentName
ActiveStatus,ActiveStatus
Country of Birth,Country of Birth
Year landed in Canada _enter 0 if not yet landed_,Year landed in Canada _enter 0 if not yet landed_
Lesson  Name,Lesson  Name
First Name,First Name
Last Name,Last Name
Phone number,Phone number
Pays d_où vous avez immigré_immigrerez,Country from where you immigrated to immigrate
Année d_arrivée au Canada _saisir 0 si non applicable_,Year of arrival in Canada Enter 0 if not applicable
Dans quel secteur dactivite ou industrie travaillez_vous,In which sector of activity or industry do you work
Shantou,Shatou
CHINA,CHINA
Tunisie,Tunisia
Vancouver,Vancouver
16) Services d’enseignement,16) Teaching services
"3) On leave from employment (Leave of absence, Maternity, Paternity, etc.)","3) On leave from employment (Leave of absence, Maternity, Paternity, etc.)"
Yemen,Yemen
Malaysia,Malaysia
Brazil,Brazil
Turkmenistan,Turkmenistan
Cambodia,Cambodia
lagos,lagos
Saudi Arabia,Saudi Arabia
Viet Nam,Vietnam
Nigeria,Nigeria
GHANA,GHANA
British Columbia,British Columbia
2000.0,2000.0
"Hong Kong, China","Hong Kong, China"
"Spouse of Permanent Resident Principal Applicant, Approved in Principle (Not yet in Canada)","Spouse of Permanent Resident Principal Applicant, Approved in Principle (Not yet in Canada)"
04) Utilities,04) Utilities
24/04/1982,24/04/1982
08-11-1980,08-11-1980
Chile,Chile
12) Real estate and rental and leasing,12) Real estate and rental and leasing
canada,canada
2006.0,2006.0
Bénin,Benign
2033,2033
10) Industrie de l’information et de la culture,10) Information and culture industry
Algeria,Algeria
1989-11-14,1989-11-14
China,China
Yemen,Yemen
Malaysia,Malaysia
Pakistan,Pakistan
1991-11-13,1991-11-13
Morocco,Morocco
Chortkiv,Chortkiv
Étudiant.e avec un permis de travail,Student with a work permit
Italy,Italy
05/03/1983,05/03/1983
Yes,Yes
United Kingdom,United Kingdom
Ouganda,Uganda
SOMALIA,SOMALIA
China,China
1967/september 24,1967/september 24
slaes manager,sales manager
Less than high school,Less than high school
Kyiv,Kyiv
United Arab Emarites,United Arab Emirates
CHILE,CHILE
"$75,000 - $100,000","$75,000 - $100,000"
Colombie,Colombia
Zimbabwe,Zimbabwe
Bangladesh,Bangladesh
Eritrea,Eritrea
UKRAINE,UKRAINE
US,US
CN,CN
Palestine,Palestine
CANADA,CANADA
No,No
Philippines,Philippines
Libya,Libya
Kuwait,Kuwait
México,Mexico
Poland,Poland
lebanon,lebanon
Trade or technical school,Trade or technical school
Paraguay,Paraguay
KENYA,KENYA
Ukrainian,Ukrainian
Congo-Brazzaville,Congo-Brazzaville
Amman,Amman
Jordan,Jordan
Senegal,Senegal
Burundi,Burundi
zimbabwe,zimbabwe
Royaume-Uni,United Kingdom
El Salvador,The Savior
Iran,Iran
Afhanistan,Afghanistan
British Colombia canada,British Columbia canada
Taipei,Taipei
USSR,USSR
Ghana,Ghana
Chine,Chine
"China, People’s Republic of","China, People’s Republic of"
Saudi Arabia,Saudi Arabia
North,North
Bolivia,Bolivia
Asia,Asia
Est_ce votre secteur ou industrie de prédilection,Is your favorite sector or industry
Non-binary,Non-binary
South Korea,South Korea
Madagascar,Madagascar
Peru,Peru
iran,iran
2000.6.5,2000.6.5
Ukraine/Canada,Ukraine/Canada
"3) $25,000  $50,000","3) $25,000  $50,000"
"$25,000  $50,000","$25,000  $50,000"
dapprobation (pas encore au Canada),approval (not yet in Canada)
19) Services dhébergement et de restauration,19) Accommodation and catering services
Diplôme détudes secondaires ou équivalent,Diploma in secondary studies or equivalent
A lécole ou en formation,At school or in training
14) Gestion de sociétés et dentreprises,14) Management of companies and companies
Résident.e permanent.e en cours dapprobation (pas encore au Canada),Permanent resident under approval (not yet in Canada)
Côte dIvoire,Côte dIvoire
HUNGARY,HUNGARY
04/04/2023,04/04/2023
École des Métiers ou Technique,School of trades or techniques
Guinée,Guinea
23/01/1991,23/01/1991
Singapore,Singapore
colombia,colombia
Chech Republic,Czech Republic
Georgia,Georgia
Somalia,Somalia
Janvier 2024,January 2024
06) Fabrication,06) Fabrication
Aout 2019,August 2019
08) Commerce de détail,08) Retail
DRC,DRC
Australia,Australia
Czech Republic,Czech Republic
Im already in Canada,Im already in Canada
Trinidad and Tobago,Trinidad and Tobago
Trinidad,Trinidad
MALAYSIA,MALAYSIA
Hyderabad,Hyderabad
Haiti,Haiti
"15) Services administratifs, de support, de gestion des déchets et dassainissement","15) Administrative, support, waste management and sanitation services"
-,-
Brasil,Brazil
Canadá,Canada
FRANCE,FRANCE
09-09-1990,09-09-1990
PHILIPPINES,PHILIPPINES
South Africa,South Africa
Époux.se de Candidat.e principal.e à la Résidence permanente (au Canada),Spouses of the main candidate for permanent residence (in Canada)
Études secondaires non terminées,Unsquined secondary studies
Republic of Korea,Republic of Korea
Ecuador,Ecuador
Madagasacar,Madgaskar
Belgique,Belgium
Korea South,Korea South
maroc,Morocco
"En arrêt de travail (congé, maternité, paternité, etc.)","On work stoppages (leave, maternity, paternity, etc.)"
Romania,Romania
16) Services denseignement,16) Services denseignement
10) Industrie de linformation et de la culture,10) Information and culture industry
Jeedh,creatures
22/08/2023,22/08/2023
Qatar,Qatar
"China, Peoples Republic of","China, Peoples Republic of"
I’m already in Canada,I’m already in Canada
Dans quelle industrie ou secteur travaillez_vous,In which industry or sector do you work
"15) Services administratifs, de support, de gestion des déchets et d’assainissement","15) Administrative, support, waste management and sanitation services"
01. Getting started (Online v.3),01. Getting started (Online v.3)
